Unnamed: 0,Date,Score,Normalized_Score
269,2018-05-25,26.4,0.021204089
270,2018-06-01,30,0.024611889
271,2018-06-08,20.8,0.015903067
272,2018-06-15,36,0.030291556
273,2018-06-22,20.4,0.015524423
274,2018-06-29,19.6,0.014767134
275,2018-07-06,12.8,0.008330178
276,2018-07-13,40.8,0.03483529
277,2018-07-20,10,0.005679667
278,2018-07-27,27.6,0.022340023
279,2018-08-03,6.4,0.002271867
280,2018-08-10,10,0.005679667
281,2018-08-17,13.2,0.008708822
282,2018-08-24,36,0.030291556
283,2018-08-31,7.2,0.003029156
284,2018-09-07,10,0.005679667
285,2018-09-14,10,0.005679667
286,2018-09-21,15.6,0.010980689
287,2018-09-28,6.4,0.002271867
288,2018-10-05,10,0.005679667
289,2018-10-12,39.6,0.033699356
290,2018-10-19,10,0.005679667
291,2018-10-26,5.6,0.001514578
292,2018-11-02,7.2,0.003029156
293,2018-11-09,6.4,0.002271867
294,2018-11-16,21.6,0.016660356
295,2018-11-23,20,0.015145778
296,2018-11-30,10,0.005679667
297,2018-12-07,12.8,0.008330178
298,2018-12-14,27.6,0.022340023
299,2018-12-21,7.2,0.003029156
300,2018-12-28,10,0.005679667
301,2019-01-04,30,0.024611889
302,2019-01-11,10,0.005679667
303,2019-01-18,43.2,0.037107156
304,2019-01-25,20.4,0.015524423
305,2019-02-01,36,0.030291556
306,2019-02-08,11.2,0.0068156
307,2019-02-15,7.2,0.003029156
308,2019-02-22,10,0.005679667
309,2019-03-01,27.6,0.022340023
310,2019-03-08,20.8,0.015903067
311,2019-03-15,40.8,0.03483529
312,2019-03-22,27.6,0.022340023
313,2019-03-29,20.4,0.015524423
314,2019-04-05,39.6,0.033699356
315,2019-04-12,10,0.005679667
316,2019-04-19,19.2,0.014388489
317,2019-04-26,20.4,0.015524423
318,2019-05-03,7.2,0.003029156
319,2019-05-10,13.6,0.009087467
320,2019-05-17,27.6,0.022340023
321,2019-05-24,72,0.064369557
322,2019-05-31,6.4,0.002271867
323,2019-06-07,12.8,0.008330178
324,2019-06-14,10,0.005679667
325,2019-06-21,55.2,0.04846649
326,2019-06-28,55.2,0.04846649
327,2019-07-05,15.6,0.010980689
328,2019-07-12,66,0.05868989
329,2019-07-19,50.4,0.043922757
330,2019-07-26,21.6,0.016660356
331,2019-08-02,27.6,0.022340023
332,2019-08-09,34.8,0.029155623
333,2019-08-16,10,0.005679667
334,2019-08-23,12.8,0.008330178
335,2019-08-30,64.8,0.057553957
336,2019-09-06,88.4,0.07989398
337,2019-09-13,19.6,0.014767134
338,2019-09-20,40.8,0.03483529
339,2019-09-27,14.4,0.009844756
340,2019-10-04,14.4,0.009844756
341,2019-10-11,12,0.007572889
342,2019-10-18,14.4,0.009844756
343,2019-10-25,55.2,0.04846649
344,2019-11-01,47.2,0.040893601
345,2019-11-08,18.4,0.0136312
346,2019-11-15,23.2,0.018174934
347,2019-11-22,14.4,0.009844756
348,2019-11-29,10,0.005679667
349,2019-12-06,36,0.030291556
350,2019-12-13,63.6,0.056418023
351,2019-12-20,27.6,0.022340023
352,2019-12-27,7.2,0.003029156
353,2020-01-03,6.4,0.002271867
354,2020-01-10,42,0.035971223
355,2020-01-17,14.4,0.009844756
356,2020-01-24,20.8,0.015903067
357,2020-01-31,10,0.005679667
358,2020-02-07,13.2,0.008708822
359,2020-02-14,26.4,0.021204089
360,2020-02-21,10,0.005679667
361,2020-02-28,49.6,0.043165468
362,2020-03-06,39.6,0.033699356
363,2020-03-13,10.4,0.006058311
364,2020-03-20,10,0.005679667
365,2020-03-27,13.2,0.008708822
