·¯½Ã¾Æ_ÀüÀï¹×ºÐÀï_Date,·¯½Ã¾Æ_ÀüÀï¹×ºÐÀï_impact_score,·¯½Ã¾Æ_ÀüÀï¹×ºÐÀï_pos_frequency,·¯½Ã¾Æ_ÀüÀï¹×ºÐÀï_neg_frequency,·¯½Ã¾Æ_ÀüÀï¹×ºÐÀï_zero_frequency,·¯½Ã¾Æ_ÀüÀï¹×ºÐÀï_sentiment
2022-07-01 00:00:00,788.0,139,15,10,1
2022-07-08 00:00:00,533.0,117,29,2,1
2022-07-15 00:00:00,599.0,118,18,5,1
2022-07-22 00:00:00,509.0,110,25,5,1
2022-07-29 00:00:00,411.0,98,18,8,1
2022-08-05 00:00:00,342.0,69,11,3,1
2022-08-12 00:00:00,456.0,79,15,5,1
2022-08-19 00:00:00,569.0,97,8,11,1
2022-08-26 00:00:00,874.0,165,19,13,1
2022-09-02 00:00:00,372.0,93,18,7,1
2022-09-09 00:00:00,433.0,88,17,6,1
2022-09-16 00:00:00,377.0,74,12,0,1
2022-09-23 00:00:00,868.0,171,48,7,1
2022-09-30 00:00:00,774.0,137,24,4,1
2022-10-07 00:00:00,248.0,93,51,4,1
2022-10-14 00:00:00,760.0,138,23,4,1
2022-10-21 00:00:00,510.0,101,14,2,1
2022-10-28 00:00:00,308.0,75,21,6,1
2022-11-04 00:00:00,398.0,103,28,1,1
2022-11-11 00:00:00,414.0,112,38,11,1
2022-11-18 00:00:00,709.0,151,34,4,1
2022-11-25 00:00:00,442.0,99,28,8,1
2022-12-02 00:00:00,552.0,117,17,12,1
2022-12-09 00:00:00,203.0,60,22,8,1
2022-12-16 00:00:00,557.0,115,24,7,1
2022-12-23 00:00:00,620.0,127,25,9,1
2022-12-30 00:00:00,426.0,94,13,4,1
2023-01-06 00:00:00,428.0,107,38,8,1
2023-01-13 00:00:00,536.0,129,25,4,1
2023-01-20 00:00:00,411.0,74,8,6,1
2023-01-27 00:00:00,427.0,72,2,1,1
2023-02-03 00:00:00,341.0,74,19,3,1
2023-02-10 00:00:00,360.0,69,14,5,1
2023-02-17 00:00:00,488.0,105,25,6,1
2023-02-24 00:00:00,1017.0,182,17,7,1
2023-03-03 00:00:00,601.0,126,24,9,1
2023-03-10 00:00:00,553.0,120,19,19,1
2023-03-17 00:00:00,595.0,123,19,5,1
2023-03-24 00:00:00,464.0,123,31,12,1
2023-03-31 00:00:00,391.0,87,22,12,1
2023-04-07 00:00:00,303.0,88,24,14,1
2023-04-14 00:00:00,357.0,73,13,5,1
2023-04-21 00:00:00,341.0,91,26,6,1
2023-04-28 00:00:00,453.0,101,17,5,1
2023-05-05 00:00:00,471.0,104,23,4,1
2023-05-12 00:00:00,534.0,125,25,5,1
2023-05-19 00:00:00,331.0,82,22,5,1
2023-05-26 00:00:00,350.0,81,22,4,1
2023-06-02 00:00:00,547.0,114,17,10,1
2023-06-09 00:00:00,566.0,121,21,9,1
2023-06-16 00:00:00,487.0,112,28,1,1
2023-06-23 00:00:00,407.0,105,28,3,1
2023-06-30 00:00:00,544.0,133,38,11,1
2023-07-07 00:00:00,277.0,59,5,2,1
2023-07-14 00:00:00,387.0,105,29,16,1
2023-07-21 00:00:00,429.0,106,30,5,1
2023-07-28 00:00:00,468.0,98,13,10,1
2023-08-04 00:00:00,543.0,114,17,7,1
2023-08-11 00:00:00,359.0,87,18,11,1
2023-08-18 00:00:00,288.0,69,14,3,1
2023-08-25 00:00:00,372.0,98,18,5,1
2023-09-01 00:00:00,343.0,91,26,8,1
2023-09-08 00:00:00,307.0,106,34,14,1
2023-09-15 00:00:00,332.0,107,28,13,1
2023-09-22 00:00:00,389.0,88,7,5,1
2023-09-29 00:00:00,446.0,109,25,4,1
2023-10-06 00:00:00,488.0,122,38,6,1
2023-10-13 00:00:00,268.0,79,28,14,1
2023-10-20 00:00:00,295.0,77,19,7,1
2023-10-27 00:00:00,301.0,79,25,8,1
2023-11-03 00:00:00,264.0,73,18,7,1
2023-11-10 00:00:00,253.0,67,17,6,1
2023-11-17 00:00:00,223.0,72,31,4,1
2023-11-24 00:00:00,319.0,82,19,7,1
2023-12-01 00:00:00,362.0,91,22,6,1
2023-12-08 00:00:00,390.0,113,34,9,1
2023-12-15 00:00:00,288.0,78,25,5,1
2023-12-22 00:00:00,453.0,105,17,5,1
2023-12-29 00:00:00,374.0,93,23,3,1
2024-01-05 00:00:00,484.0,103,22,2,1
2024-01-12 00:00:00,474.0,109,30,4,1
2024-01-19 00:00:00,641.0,138,23,3,1
2024-01-26 00:00:00,715.0,139,20,6,1
2024-02-02 00:00:00,348.0,79,17,4,1
2024-02-09 00:00:00,468.0,108,28,3,1
2024-02-16 00:00:00,435.0,96,22,6,1
2024-02-23 00:00:00,644.0,143,33,9,1
2024-03-01 00:00:00,696.0,142,25,21,1
2024-03-08 00:00:00,459.0,98,18,7,1
2024-03-15 00:00:00,412.0,72,14,5,1
2024-03-22 00:00:00,673.0,133,31,6,1
2024-03-29 00:00:00,528.0,114,20,7,1
2024-04-05 00:00:00,638.0,127,22,4,1
2024-04-12 00:00:00,685.0,136,27,7,1
2024-04-19 00:00:00,654.0,115,20,4,1
2024-04-26 00:00:00,519.0,88,6,5,1
2024-05-03 00:00:00,681.0,123,21,2,1
2024-05-10 00:00:00,743.0,139,15,7,1
2024-05-17 00:00:00,876.0,161,19,4,1
2024-05-24 00:00:00,301.0,54,9,2,1
2024-05-31 00:00:00,0.0,0,0,0,0
2024-06-07 00:00:00,609.0,122,21,4,1
2024-06-14 00:00:00,493.0,122,38,4,1
2024-06-21 00:00:00,448.0,120,36,7,1
2024-06-28 00:00:00,493.0,126,42,11,1
2024-07-05 00:00:00,560.0,143,27,13,1
2024-07-12 00:00:00,547.0,149,53,8,1
2024-07-19 00:00:00,310.0,76,16,2,1
2024-07-26 00:00:00,253.0,98,43,10,1
2024-08-02 00:00:00,435.0,93,15,9,1
2024-08-09 00:00:00,460.0,95,22,1,1
2024-08-16 00:00:00,1085.0,173,17,3,1
2024-08-23 00:00:00,481.0,93,15,4,1
2024-08-30 00:00:00,672.0,126,23,6,1
2024-09-06 00:00:00,601.0,117,24,5,1
2024-09-13 00:00:00,644.0,131,24,8,1
2024-09-20 00:00:00,452.0,102,28,11,1
2024-09-27 00:00:00,746.0,160,31,4,1
2024-10-04 00:00:00,380.0,86,19,6,1
2024-10-11 00:00:00,327.0,76,28,5,1
2024-10-18 00:00:00,642.0,133,22,6,1
2024-10-25 00:00:00,661.0,134,19,8,1
2024-11-01 00:00:00,847.0,166,25,2,1
2024-11-08 00:00:00,628.0,150,32,0,1
2024-11-15 00:00:00,230.0,66,17,0,1
2024-11-22 00:00:00,1314.0,222,16,2,1
2024-11-29 00:00:00,696.0,142,28,3,1
2024-12-06 00:00:00,468.0,107,23,4,1
2024-12-13 00:00:00,518.0,120,26,3,1
2024-12-20 00:00:00,635.0,126,26,12,1
2024-12-27 00:00:00,215.0,51,18,7,1
