Date,생산지_전쟁및분쟁_러시아_impact_score_sum,생산지_전쟁및분쟁_러시아_impact_score_mean,생산지_전쟁및분쟁_러시아_pos_frequency,생산지_전쟁및분쟁_러시아_neg_frequency,생산지_전쟁및분쟁_러시아_sentiment
2022.1.7 0:00,37,4.625,8,0,1
2022.1.14 0:00,343,6.86,50,0,1
2022.1.21 0:00,479,5.702380952,78,6,1
2022.1.28 0:00,965,6.307189542,149,4,1
2022.2.4 0:00,853,6.136690647,134,5,1
2022.2.11 0:00,670,6.036036036,105,6,1
2022.2.18 0:00,1013,5.788571429,161,14,1
2022.2.25 0:00,1081,7.666666667,132,9,1
2022.3.4 0:00,1193,5.994974874,187,12,1
2022.3.11 0:00,667,4.194968553,130,29,1
2022.3.18 0:00,665,4.65034965,121,22,1
2022.3.25 0:00,659,4.845588235,121,15,1
2022.4.1 0:00,322,3.975308642,67,14,1
2022.4.8 0:00,767,4.433526012,151,22,1
2022.4.15 0:00,765,4.371428571,150,25,1
2022.4.22 0:00,778,5.402777778,130,14,1
2022.4.29 0:00,862,5.100591716,154,15,1
2022.5.6 0:00,628,4.186666667,131,19,1
2022.5.13 0:00,389,4.630952381,77,7,1
2022.5.20 0:00,418,3.073529412,108,28,1
2022.5.27 0:00,704,4.240963855,142,24,1
2022.6.3 0:00,790,4.730538922,147,20,1
2022.6.10 0:00,419,3.299212598,102,25,1
2022.6.17 0:00,549,4.190839695,112,19,1
2022.6.24 0:00,474,5.325842697,82,7,1
2022.7.1 0:00,788,5.116883117,139,15,1
2022.7.8 0:00,533,3.650684932,117,29,1
2022.7.15 0:00,599,4.404411765,118,18,1
2022.7.22 0:00,509,3.77037037,110,25,1
2022.7.29 0:00,411,3.543103448,98,18,1
2022.8.5 0:00,342,4.275,69,11,1
2022.8.12 0:00,456,4.85106383,79,15,1
2022.8.19 0:00,569,5.419047619,97,8,1
2022.8.26 0:00,874,4.75,165,19,1
2022.9.2 0:00,372,3.351351351,93,18,1
2022.9.9 0:00,433,4.123809524,88,17,1
2022.9.16 0:00,377,4.38372093,74,12,1
2022.9.23 0:00,868,3.96347032,171,48,1
2022.9.30 0:00,774,4.807453416,137,24,1
2022.10.7 0:00,248,1.722222222,93,51,1
2022.10.14 0:00,760,4.720496894,138,23,1
2022.10.21 0:00,510,4.434782609,101,14,1
2022.10.28 0:00,308,3.208333333,75,21,1
2022.11.4 0:00,398,3.038167939,103,28,1
2022.11.11 0:00,414,2.76,112,38,1
2022.11.18 0:00,709,3.832432432,151,34,1
2022.11.25 0:00,442,3.480314961,99,28,1
2022.12.2 0:00,552,4.119402985,117,17,1
2022.12.9 0:00,203,2.475609756,60,22,1
2022.12.16 0:00,557,4.007194245,115,24,1
2022.12.23 0:00,620,4.078947368,127,25,1
2022.12.30 0:00,426,3.981308411,94,13,1
2023.1.6 0:00,428,2.951724138,107,38,1
2023.1.13 0:00,536,3.480519481,129,25,1
2023.1.20 0:00,411,5.012195122,74,8,1
2023.1.27 0:00,427,5.77027027,72,2,1
2023.2.3 0:00,341,3.666666667,74,19,1
2023.2.10 0:00,360,4.337349398,69,14,1
2023.2.17 0:00,488,3.753846154,105,25,1
2023.2.24 0:00,1017,5.110552764,182,17,1
2023.3.3 0:00,601,4.006666667,126,24,1
2023.3.10 0:00,553,3.978417266,120,19,1
2023.3.17 0:00,595,4.190140845,123,19,1
2023.3.24 0:00,464,3.012987013,123,31,1
2023.3.31 0:00,391,3.587155963,87,22,1
2023.4.7 0:00,303,2.705357143,88,24,1
2023.4.14 0:00,357,4.151162791,73,13,1
2023.4.21 0:00,341,2.914529915,91,26,1
2023.4.28 0:00,453,3.838983051,101,17,1
2023.5.5 0:00,471,3.708661417,104,23,1
2023.5.12 0:00,534,3.56,125,25,1
2023.5.19 0:00,331,3.182692308,82,22,1
2023.5.26 0:00,350,3.398058252,81,22,1
2023.6.2 0:00,547,4.175572519,114,17,1
2023.6.9 0:00,566,3.985915493,121,21,1
2023.6.16 0:00,487,3.478571429,112,28,1
2023.6.23 0:00,407,3.060150376,105,28,1
2023.6.30 0:00,544,3.18128655,133,38,1
2023.7.7 0:00,277,4.328125,59,5,1
2023.7.14 0:00,387,2.888059701,105,29,1
2023.7.21 0:00,429,3.154411765,106,30,1
2023.7.28 0:00,468,4.216216216,98,13,1
2023.8.4 0:00,543,4.145038168,114,17,1
2023.8.11 0:00,359,3.419047619,87,18,1
2023.8.18 0:00,288,3.469879518,69,14,1
2023.8.25 0:00,372,3.206896552,98,18,1
2023.9.1 0:00,343,2.931623932,91,26,1
2023.9.8 0:00,307,2.192857143,106,34,1
2023.9.15 0:00,332,2.459259259,107,28,1
2023.9.22 0:00,389,4.094736842,88,7,1
2023.9.29 0:00,446,3.328358209,109,25,1
2023.10.6 0:00,488,3.05,122,38,1
2023.10.13 0:00,268,2.504672897,79,28,1
2023.10.20 0:00,295,3.072916667,77,19,1
2023.10.27 0:00,301,2.894230769,79,25,1
2023.11.3 0:00,264,2.901098901,73,18,1
2023.11.10 0:00,253,3.011904762,67,17,1
2023.11.17 0:00,223,2.165048544,72,31,1
2023.11.24 0:00,319,3.158415842,82,19,1
2023.12.1 0:00,362,3.203539823,91,22,1
2023.12.8 0:00,390,2.653061224,113,34,1
2023.12.15 0:00,288,2.796116505,78,25,1
2023.12.22 0:00,453,3.713114754,105,17,1
2023.12.29 0:00,374,3.224137931,93,23,1
2024.1.5 0:00,484,3.872,103,22,1
2024.1.12 0:00,474,3.410071942,109,30,1
2024.1.19 0:00,641,3.98136646,138,23,1
2024.1.26 0:00,715,4.496855346,139,20,1
2024.2.2 0:00,348,3.625,79,17,1
2024.2.9 0:00,468,3.441176471,108,28,1
2024.2.16 0:00,435,3.686440678,96,22,1
2024.2.23 0:00,644,3.659090909,143,33,1
2024.3.1 0:00,696,4.167664671,142,25,1
2024.3.8 0:00,459,3.956896552,98,18,1
2024.3.15 0:00,412,4.790697674,72,14,1
2024.3.22 0:00,673,4.103658537,133,31,1
2024.3.29 0:00,528,3.940298507,114,20,1
2024.4.5 0:00,638,4.281879195,127,22,1
2024.4.12 0:00,685,4.202453988,136,27,1
2024.4.19 0:00,654,4.844444444,115,20,1
2024.4.26 0:00,519,5.521276596,88,6,1
2024.5.3 0:00,681,4.729166667,123,21,1
2024.5.10 0:00,743,4.824675325,139,15,1
2024.5.17 0:00,876,4.866666667,161,19,1
2024.5.24 0:00,301,4.777777778,54,9,1
2024.5.31 0:00,0,0,0,0,0
2024.6.7 0:00,609,4.258741259,122,21,1
2024.6.14 0:00,493,3.08125,122,38,1
2024.6.21 0:00,448,2.871794872,120,36,1
2024.6.28 0:00,493,2.93452381,126,42,1
2024.7.5 0:00,560,3.294117647,143,27,1
2024.7.12 0:00,547,2.707920792,149,53,1
2024.7.19 0:00,310,3.369565217,76,16,1
2024.7.26 0:00,253,1.794326241,98,43,1
2024.8.2 0:00,435,4.027777778,93,15,1
2024.8.9 0:00,460,3.931623932,95,22,1
2024.8.16 0:00,1085,5.710526316,173,17,1
2024.8.23 0:00,481,4.453703704,93,15,1
2024.8.30 0:00,672,4.510067114,126,23,1
2024.9.6 0:00,601,4.262411348,117,24,1
2024.9.13 0:00,644,4.15483871,131,24,1
2024.9.20 0:00,452,3.476923077,102,28,1
2024.9.27 0:00,746,3.905759162,160,31,1
2024.10.4 0:00,380,3.619047619,86,19,1
2024.10.11 0:00,327,3.144230769,76,28,1
2024.10.18 0:00,642,4.141935484,133,22,1
2024.10.25 0:00,661,4.320261438,134,19,1
2024.11.1 0:00,847,4.434554974,166,25,1
2024.11.8 0:00,628,3.450549451,150,32,1
2024.11.15 0:00,230,2.771084337,66,17,1
2024.11.22 0:00,1314,5.521008403,222,16,1
2024.11.29 0:00,696,4.094117647,142,28,1
2024.12.6 0:00,468,3.6,107,23,1
2024.12.13 0:00,518,3.547945205,120,26,1
2024.12.20 0:00,635,4.177631579,126,26,1
2024.12.27 0:00,215,3.115942029,51,18,1
