Date,¼ÒºñÁö_ÀüÀï¹×ºÐÀï_¹Ì±¹_impact_score_sum,¼ÒºñÁö_ÀüÀï¹×ºÐÀï_¹Ì±¹__impact_score_mean,¼ÒºñÁö_ÀüÀï¹×ºÐÀï_¹Ì±¹__pos_frequency,¼ÒºñÁö_ÀüÀï¹×ºÐÀï_¹Ì±¹__neg_frequency,¼ÒºñÁö_ÀüÀï¹×ºÐÀï_¹Ì±¹__zero_frequency,¼ÒºñÁö_ÀüÀï¹×ºÐÀï_¹Ì±¹__sentiment
2021.3.19 0:00,14,2,2,0,5,1
2021.3.26 0:00,5,1.25,2,0,2,1
2021.4.2 0:00,-1,-0.090909091,2,1,8,-1
2021.4.9 0:00,3,0.333333333,1,0,8,1
2021.4.16 0:00,17,0.944444444,4,1,13,1
2021.4.23 0:00,15,1,3,0,12,1
2021.4.30 0:00,13,2.166666667,3,0,3,1
2021.5.7 0:00,12,2.4,2,0,3,1
2021.5.14 0:00,10,0.909090909,3,2,6,1
2021.5.21 0:00,0,0,1,1,4,0
2021.5.28 0:00,0,0,0,0,14,0
2021.6.4 0:00,3,0.375,1,0,7,1
2021.6.11 0:00,13,1.857142857,2,0,5,1
2021.6.18 0:00,-7,-1.75,0,2,2,-1
2021.6.25 0:00,6,0.6,2,2,6,1
2021.7.2 0:00,27,2.076923077,4,0,9,1
2021.7.9 0:00,-1,-0.2,0,1,4,-1
2021.7.16 0:00,-5,-1.25,0,1,3,-1
2021.7.23 0:00,13,1.625,2,0,6,1
2021.7.30 0:00,5,2.5,1,0,1,1
2021.8.6 0:00,0,0,0,0,10,0
2021.8.13 0:00,-5,-1,0,1,4,-1
2021.8.20 0:00,-3,-0.5,0,1,5,-1
2021.8.27 0:00,10,1,2,0,8,1
2021.9.3 0:00,10,2.5,2,0,2,1
2021.9.10 0:00,0,0,0,0,4,0
2021.9.17 0:00,0,0,0,0,7,0
2021.9.24 0:00,16,1.142857143,3,0,11,1
2021.10.1 0:00,14,0.823529412,2,0,15,1
2021.10.8 0:00,2,0.25,1,0,7,1
2021.10.15 0:00,6,1,1,0,5,1
2021.10.22 0:00,2,0.2,2,1,7,1
2021.10.29 0:00,0,0,0,0,9,0
2021.11.5 0:00,14,0.823529412,3,0,14,1
2021.11.12 0:00,15,1.25,2,0,10,1
2021.11.19 0:00,10,1.111111111,2,0,7,1
2021.11.26 0:00,12,1.090909091,3,0,8,1
2021.12.3 0:00,5,0.714285714,1,0,6,1
2021.12.10 0:00,18,2.25,3,1,4,1
2021.12.17 0:00,7,0.538461538,2,2,9,1
2021.12.24 0:00,12,0.923076923,3,1,9,1
2021.12.31 0:00,4,0.266666667,3,3,9,1
2022.1.7 0:00,-1,-0.071428571,2,3,9,-1
2022.1.14 0:00,1,0.1,2,2,6,1
2022.1.21 0:00,-5,-0.833333333,1,1,4,-1
2022.1.28 0:00,-6,-0.666666667,1,3,5,-1
2022.2.4 0:00,36,1.44,7,1,17,1
2022.2.11 0:00,-4,-0.086956522,5,4,37,-1
2022.2.18 0:00,10,0.588235294,4,2,11,1
2022.2.25 0:00,70,5,8,0,6,1
2022.3.4 0:00,167,4.282051282,25,2,12,1
2022.3.11 0:00,158,3.511111111,26,2,17,1
2022.3.18 0:00,123,4.24137931,19,3,7,1
2022.3.25 0:00,29,1.45,7,2,11,1
2022.4.1 0:00,60,2.222222222,14,0,13,1
2022.4.8 0:00,-2,-0.2,3,2,5,-1
2022.4.15 0:00,41,1.863636364,7,3,12,1
2022.4.22 0:00,29,1.260869565,7,2,14,1
2022.4.29 0:00,52,2.476190476,10,1,10,1
2022.5.6 0:00,-2,-0.095238095,4,4,13,-1
2022.5.13 0:00,27,1.588235294,7,2,8,1
2022.5.20 0:00,11,0.733333333,4,2,9,1
2022.5.27 0:00,13,0.866666667,4,1,10,1
2022.6.3 0:00,21,1.75,7,1,4,1
2022.6.10 0:00,7,0.333333333,5,4,12,1
2022.6.17 0:00,39,2.294117647,9,1,7,1
2022.6.24 0:00,9,1,3,1,5,1
2022.7.1 0:00,28,2.153846154,6,1,6,1
2022.7.8 0:00,6,0.5,2,2,8,1
2022.7.15 0:00,33,2.357142857,7,1,6,1
2022.7.22 0:00,16,1,5,0,11,1
2022.7.29 0:00,5,0.555555556,2,1,6,1
2022.8.5 0:00,12,0.8,4,2,9,1
2022.8.12 0:00,21,1.615384615,6,0,7,1
2022.8.19 0:00,29,2.416666667,7,1,4,1
2022.8.26 0:00,22,0.916666667,6,3,15,1
2022.9.2 0:00,15,0.9375,3,0,13,1
2022.9.9 0:00,12,0.705882353,5,3,9,1
2022.9.16 0:00,2,0.181818182,1,0,10,1
2022.9.23 0:00,14,0.875,3,1,12,1
2022.9.30 0:00,17,1.416666667,3,1,8,1
2022.10.7 0:00,5,0.384615385,1,1,11,1
2022.10.14 0:00,33,2.2,7,1,7,1
2022.10.21 0:00,5,0.5,1,0,9,1
2022.10.28 0:00,11,1.1,3,0,7,1
2022.11.4 0:00,27,1.227272727,5,1,16,1
2022.11.11 0:00,3,0.272727273,2,3,6,1
2022.11.18 0:00,16,0.842105263,5,2,12,1
2022.11.25 0:00,6,0.5,3,4,5,1
2022.12.2 0:00,23,0.766666667,4,2,24,1
2022.12.9 0:00,38,2.714285714,4,0,10,1
2022.12.16 0:00,8,0.380952381,2,1,18,1
2022.12.23 0:00,28,1.4,5,0,15,1
2022.12.30 0:00,7,0.875,1,1,6,1
2023.1.6 0:00,15,0.882352941,6,1,10,1
2023.1.13 0:00,-10,-0.666666667,0,2,13,-1
2023.1.20 0:00,-6,-0.75,0,2,6,-1
2023.1.27 0:00,-7,-0.538461538,0,2,11,-1
2023.2.3 0:00,14,1,4,3,7,1
2023.2.10 0:00,-1,-0.0625,0,1,15,-1
2023.2.17 0:00,4,0.235294118,3,2,12,1
2023.2.24 0:00,7,0.291666667,5,4,15,1
2023.3.3 0:00,35,2.916666667,5,0,7,1
2023.3.10 0:00,15,1.153846154,3,2,8,1
2023.3.17 0:00,3,0.130434783,4,3,16,1
2023.3.24 0:00,2,0.133333333,2,2,11,1
2023.3.31 0:00,20,1.052631579,5,2,12,1
2023.4.7 0:00,22,2,4,0,7,1
2023.4.14 0:00,0,0,1,1,10,0
2023.4.21 0:00,16,1.066666667,3,0,12,1
2023.4.28 0:00,15,1.153846154,2,0,11,1
