Date,생산지_재해_호주_impact_score_sum,생산지_재해_호주_impact_score_mean,생산지_재해_호주_pos_frequency,생산지_재해_호주_neg_frequency,생산지_재해_호주_zero_frequency,생산지_재해_호주_sentiment
2018-12-21 00:00:00,40.0,6.666666666666667,4,0,2,1
2018-12-28 00:00:00,10.0,2.5,1,0,3,1
2019-01-04 00:00:00,10.0,3.3333333333333335,1,0,2,1
2019-01-11 00:00:00,10.0,3.3333333333333335,1,0,2,1
2019-01-18 00:00:00,10.0,1.25,1,0,7,1
2019-01-25 00:00:00,80.0,5.714285714285714,9,1,4,1
2019-02-01 00:00:00,40.0,8.0,4,0,1,1
2019-02-08 00:00:00,170.0,5.483870967741935,18,1,12,1
2019-02-15 00:00:00,60.0,4.0,7,1,7,1
2019-02-22 00:00:00,20.0,1.5384615384615385,3,1,9,1
2019-03-01 00:00:00,0.0,0.0,1,1,3,0
2019-03-08 00:00:00,0.0,0.0,0,0,2,0
2019-03-15 00:00:00,0.0,0.0,0,0,3,0
2019-03-22 00:00:00,170.0,7.391304347826087,17,0,6,1
2019-03-29 00:00:00,80.0,4.444444444444445,12,4,2,1
2019-04-05 00:00:00,-10.0,-1.4285714285714286,1,2,4,-1
2019-04-12 00:00:00,10.0,1.4285714285714286,2,1,4,1
2019-04-19 00:00:00,0.0,0.0,2,2,2,0
2019-04-26 00:00:00,0.0,0.0,0,0,2,0
2019-05-03 00:00:00,0.0,0.0,0,0,1,0
2019-05-10 00:00:00,10.0,3.3333333333333335,1,0,2,1
2019-05-17 00:00:00,0.0,0.0,0,0,1,0
2019-05-24 00:00:00,0.0,0.0,1,1,0,0
2019-05-31 00:00:00,0.0,0.0,0,0,2,0
2019-06-07 00:00:00,0.0,0.0,0,0,5,0
2019-06-14 00:00:00,0.0,0.0,0,0,4,0
2019-06-21 00:00:00,10.0,3.3333333333333335,1,0,2,1
2019-06-28 00:00:00,0.0,0.0,0,0,0,0
2019-07-05 00:00:00,0.0,0.0,0,0,6,0
2019-07-12 00:00:00,0.0,0.0,0,0,1,0
2019-07-19 00:00:00,-10.0,-5.0,0,1,1,-1
2019-07-26 00:00:00,-10.0,-2.5,0,1,3,-1
2019-08-02 00:00:00,-10.0,-1.4285714285714286,1,2,4,-1
2019-08-09 00:00:00,10.0,1.25,1,0,7,1
2019-08-16 00:00:00,0.0,0.0,0,0,5,0
2019-08-23 00:00:00,0.0,0.0,0,0,2,0
